#{"t_start": 1767048764.4368377, "env_id": "Reacher-v4"}
r,l,t
-37.709291,50,0.959312
-48.508605,50,0.973812
-41.270168,50,1.458349
-36.048204,50,1.938609
-44.64229,50,2.43203
-36.738686,50,2.909616
-43.313198,50,3.39874
-34.31807,50,3.912683
-39.718872,50,4.515157
-32.498171,50,5.014476
-32.513647,50,5.53914
-36.779266,50,6.130875
-39.339705,50,6.74205
-32.873178,50,7.367727
-34.296397,50,7.945821
-35.705592,50,8.574481
-29.167019,50,9.193697
-34.086208,50,9.831978
-36.037813,50,10.376363
-33.605495,50,11.059381
-38.406604,50,11.749114
-31.311212,50,12.416242
-32.198303,50,13.116232
-34.668611,50,13.748447
-33.070419,50,14.357704
-30.947152,50,15.193845
-30.537603,50,15.89718
-34.799332,50,16.509824
-35.632884,50,17.214871
-34.467542,50,17.951344
-33.313372,50,18.631421
-36.207119,50,19.338592
-32.415027,50,20.01766
-27.267503,50,20.664917
-29.521148,50,21.359352
-36.982005,50,22.063012
-33.794425,50,22.680985
-33.197513,50,23.336142
-36.2125,50,24.01504
-32.419701,50,24.649763
-31.336118,50,25.401702
-33.023142,50,26.114058
-34.214112,50,26.733674
-27.014664,50,27.448753
-32.635392,50,28.113024
-30.768582,50,28.744669
-27.555927,50,29.495248
-26.574837,50,30.182037
-25.534732,50,30.895427
-27.317502,50,31.576347
-36.398386,50,32.275636
-25.285347,50,32.976078
-28.581933,50,33.87377
-25.06488,50,34.48954
-24.856495,50,35.141054
-29.719747,50,35.690547
-26.189311,50,36.342138
-25.538899,50,37.003648
-28.868913,50,37.585297
-29.058984,50,38.12308
-23.371759,50,38.653427
-26.912008,50,39.173918
-23.598552,50,39.698103
-27.706374,50,40.192408
-21.576959,50,40.752158
-25.667528,50,41.287612
-19.380053,50,41.829903
-26.439024,50,42.359784
-27.177304,50,42.921651
-26.335774,50,43.46035
-22.630449,50,44.004154
-27.787887,50,44.52972
-23.888292,50,45.051365
-21.650313,50,45.623909
-22.534222,50,46.143665
-19.936428,50,46.681464
-20.814713,50,47.206586
-22.404362,50,47.735941
-23.425567,50,48.269785
-25.303955,50,48.809072
-25.2543,50,49.350383
-18.736192,50,49.936348
-15.33725,50,50.476034
-18.336048,50,50.985729
-18.716747,50,51.53696
-26.940653,50,52.058215
-19.013778,50,52.592441
-24.513246,50,53.137827
-19.724823,50,53.655897
-22.306254,50,54.165343
-16.917736,50,54.702956
-18.934506,50,55.227858
-15.160269,50,55.799388
-17.365354,50,56.329755
-21.570699,50,56.860137
-17.212808,50,57.372966
-23.632867,50,57.919529
-15.702429,50,58.442324
-13.049547,50,58.982843
-18.010572,50,59.514547
-19.622389,50,60.055321
-15.559975,50,60.600058
-18.098532,50,61.12354
-16.699849,50,61.643929
-16.578979,50,62.172187
-18.021241,50,62.696229
-15.164328,50,63.225157
-21.145166,50,63.771711
-15.666576,50,64.307492
-13.422008,50,64.84582
-20.476294,50,65.384397
-16.829377,50,65.909289
-17.213853,50,66.461457
-14.646519,50,66.977023
-12.68711,50,67.514481
-16.344886,50,68.035392
-14.150314,50,68.560277
-19.580794,50,69.067268
-11.473037,50,69.626462
-12.648898,50,70.183437
-9.500785,50,70.716279
-16.714373,50,71.276629
-17.751279,50,71.811389
-15.384986,50,72.314116
-19.905317,50,72.854242
-9.900254,50,73.384893
-13.622642,50,73.921977
-17.872122,50,74.450075
-12.030499,50,74.992676
-12.70296,50,75.525648
-11.489592,50,76.046591
-20.382058,50,76.566534
-17.747718,50,77.100492
-14.542213,50,77.648616
-11.251485,50,78.171519
-11.14582,50,78.697986
-19.169916,50,79.231434
-13.249162,50,79.757013
-9.720025,50,80.279254
-16.612604,50,80.795759
-14.012496,50,81.316893
-16.090546,50,81.842647
-13.433473,50,82.368016
-16.473136,50,82.881586
-15.070033,50,83.41228
-14.452154,50,83.931864
-12.256852,50,84.447412
-13.155853,50,84.96535
