#{"t_start": 1767050405.1275222, "env_id": "Reacher-v4"}
r,l,t
-47.810927,50,0.020791
-45.172749,50,0.038864
-6.149293,50,0.540357
-2.765217,50,1.063927
-8.241688,50,1.595422
-3.925369,50,2.123086
-4.356189,50,2.677263
-6.339025,50,3.199212
-2.111511,50,3.733948
-3.772341,50,4.24884
-6.398878,50,4.764092
-3.854352,50,5.289211
-6.851563,50,5.821367
-5.173454,50,6.352924
-2.477691,50,6.879642
-2.724069,50,7.408223
-7.391466,50,7.957526
-6.827545,50,8.57435
-2.521696,50,9.110648
-6.84882,50,9.6868
-2.664708,50,10.266505
-5.784178,50,10.841983
-6.03165,50,11.369412
-5.536817,50,11.919212
-3.231096,50,12.485055
-4.910589,50,13.035316
-6.281763,50,13.581316
-6.106619,50,14.112767
-4.099501,50,14.701288
-4.829304,50,15.223309
-3.811528,50,15.763853
-4.249259,50,16.318637
-5.612511,50,16.867845
-7.205053,50,17.424545
-7.123094,50,17.954007
-3.130414,50,18.503733
-1.917978,50,19.073186
-2.661049,50,19.612753
-1.556015,50,20.159712
-6.408307,50,20.707031
-6.831456,50,21.273832
-6.778107,50,21.820071
-3.944551,50,22.363623
-3.631795,50,22.942476
-6.205106,50,23.508213
-4.450705,50,24.068521
-7.911597,50,24.586572
-7.295666,50,25.109613
-4.022578,50,25.663509
-2.977934,50,26.215905
-4.135469,50,26.740198
-5.253535,50,27.274565
-7.075118,50,27.82094
-2.828421,50,28.356506
-5.06719,50,28.883024
-5.834645,50,29.451613
-4.999687,50,30.015534
-1.914022,50,30.542151
-5.532879,50,31.07594
-8.001186,50,31.598489
-4.255792,50,32.138536
-3.209783,50,32.698002
-3.344116,50,33.219841
-4.376954,50,33.729832
-6.458222,50,34.260479
-6.359868,50,34.802238
-5.212373,50,35.333844
-4.419992,50,35.865039
-5.583746,50,36.400468
-3.500499,50,36.954588
-4.7262,50,37.490758
-5.992027,50,38.020513
-6.070121,50,38.579069
-3.91066,50,39.110936
-3.408856,50,39.650056
-3.770408,50,40.191108
-4.027043,50,40.729226
-6.404789,50,41.270076
-2.615904,50,41.80924
-7.376183,50,42.346835
-1.693031,50,42.896224
-5.390874,50,43.446906
-5.358235,50,43.966124
-5.327068,50,44.532683
-6.422292,50,45.086292
-5.424778,50,45.626214
-7.356091,50,46.153903
-4.901239,50,46.690453
-5.91897,50,47.24979
-6.189495,50,47.79542
-4.735779,50,48.32681
-6.618731,50,48.855061
-7.594443,50,49.410171
-4.556827,50,49.963396
-7.195415,50,50.501103
-5.758133,50,51.033089
-6.66129,50,51.591231
-3.511736,50,52.116609
-7.766928,50,52.674161
-6.086302,50,53.196502
-6.486613,50,53.740085
-2.498516,50,54.268287
-8.326789,50,54.819448
-4.286598,50,55.335416
-4.256728,50,55.873035
-4.217921,50,56.409792
-3.123581,50,56.973355
-6.824271,50,57.518233
-4.329763,50,58.066348
-3.16908,50,58.60152
-1.821327,50,59.131069
-4.776588,50,59.672279
-4.75806,50,60.227396
-4.583082,50,60.763382
-5.579611,50,61.290966
-5.804059,50,61.82927
-1.969317,50,62.371033
-2.972801,50,62.910925
-3.455329,50,63.451396
-5.226575,50,63.99879
-3.613405,50,64.563077
-7.476447,50,65.099992
-3.487182,50,65.645324
-4.803049,50,66.17919
-4.811253,50,66.734454
-3.767746,50,67.264033
